files_changed,branches_count,time_since_previous_commit,time_since_previous_commit_days,commit_frequency_24h,commit_hour,commit_day,commit_month,commit_dayofweek,activity_frequency,activity_encoded,author_commit_count,author_unique_files,author_median_files_changed,file_reuse,branch_reuse,files_changed_rolling_avg_7d,branches_count_rolling_avg_7d,time_since_previous_commit_rolling_avg_7d,activity_frequency_rolling_avg_7d,anomaly_score_iqr,is_anomaly_iqr,anomaly_score_zscore,is_anomaly_zscore,anomaly_score_percentile,is_anomaly_percentile_95,is_anomaly_percentile_99,is_anomaly_percentile_999,anomaly_score_combined,is_anomaly_combined,anomaly_score_robust,is_anomaly_robust,anomaly_score_final,is_anomaly_final
1,11,278.0,0.0032175925925925,0,22,1,3,2,4122,43,928,4418,3.0,True,True,4.8059701492537314,13.686567164179104,0.1049324557766721,4404.462686567164,0.0,False,0.8127857158343925,False,0.0011654932275052,True,False,False,0.2443019120413198,False,0.1844449218720314,True,0.2495990327334823,True
4,11,254.0,0.0029398148148148,0,22,1,3,2,4122,43,928,4418,3.0,True,True,4.794117647058823,13.647058823529411,0.1034325639978213,4400.308823529412,0.0,False,0.8082215885818848,False,0.0011697426052748,True,False,False,0.2429343736166753,False,0.1845303903656076,True,0.2484804303881918,True
1,11,147.0,0.0017013888888888,0,22,1,3,2,4122,43,928,4418,3.0,True,True,4.739130434782608,13.608695652173912,0.1019581991411701,4396.275362318841,0.0,False,0.8154312757161025,False,0.0011758131449458,True,False,False,0.2450997079728091,False,0.1846133815115439,True,0.25030511759314805,True
1,11,558.0,0.0064583333333333,0,22,1,3,2,4122,43,928,4418,3.0,True,True,4.685714285714286,13.571428571428571,0.1005939153439153,4392.357142857143,0.0,False,0.8143887970975894,False,0.0011817102406262,True,False,False,0.2447893232255273,False,0.184694001481882,True,0.2500661272050244,True
1,11,716.0,0.008287037037037,0,22,1,3,2,4122,43,928,4418,3.0,True,True,4.633802816901408,13.535211267605634,0.0992938184663536,4388.549295774648,0.0,False,0.8146511406100505,False,0.0011874412209353,True,False,False,0.2448703186713892,False,0.1847723504671402,True,0.2501527330745315,True
2,11,240.0,0.0027777777777777,0,22,1,3,2,4122,43,928,4418,3.0,True,True,4.597222222222222,13.5,0.0979533179012345,4384.847222222223,0.0,False,0.8163549544370126,False,0.0011930130073469,True,False,False,0.2453836915340425,False,0.18484852309169675,True,0.25059912263401407,True
1,11,1104.0,0.0127777777777777,0,23,1,3,2,4122,43,928,4418,3.0,True,True,4.5479452054794525,13.465753424657532,0.0967865296803652,4381.246575342466,0.0,False,0.8227828290472097,False,0.001198432142076,True,False,False,0.2473142215709933,False,0.18492260879503258,True,0.25222596749607956,True
1,11,98.0,0.0011342592592592,0,23,1,3,2,4122,43,928,4418,3.0,True,True,4.5,13.432432432432432,0.0954939314314314,4377.743243243243,0.0,False,0.8292537714029723,False,0.0012037048137044,True,False,False,0.2492576133463734,False,0.18499469218206205,True,0.2538630420996847,True
5,11,409.0,0.0047337962962962,0,23,1,3,2,4122,43,928,4418,3.0,True,True,4.506666666666667,13.4,0.0942837962962962,4374.333333333333,0.0,False,0.8207524524633438,False,0.0012088368807559,True,False,False,0.2467092704913055,False,0.21284263112321514,True,0.25870098011682874,True
1,11,322.0,0.0037268518518518,0,23,1,3,2,4122,43,928,4418,3.0,True,True,4.4605263157894735,13.36842105263158,0.0930922575536062,4371.013157894737,0.0,False,0.8294321466919977,False,0.0012138338934114,True,False,False,0.2493151775649638,False,0.1851331681624081,True,0.25394478718695435,True
2,10,4331.0,0.0501273148148148,0,0,2,3,3,5625,18,26,343,8.0,True,True,4.428571428571429,13.324675324675324,0.0925342712842712,4387.298701298701,0.1944444444444444,True,0.8615228294192385,False,0.0347810926603496,True,True,False,0.3307026192232447,True,0.28147132947901726,True,0.34305492400076243,True
17,14,15334.0,0.1774768518518518,0,4,2,3,3,4122,43,715,1024,2.0,True,True,4.636363636363637,13.324675324675324,0.0916372053872053,4367.779220779221,0.0833333333333333,True,0.7019920023166022,False,5.526293451990069e-05,True,False,False,0.2356197058687886,True,0.8600725375173933,True,0.4113632840254622,True
2,14,29747.0,0.3442939814814815,0,13,2,3,3,5625,18,260,749,2.0,True,True,4.5131578947368425,13.31578947368421,0.0931696211013645,4392.5,0.0651503059324288,True,0.7261222658023417,False,5.666902033204797e-05,True,False,False,0.2374044391285639,True,0.7660045194630004,True,0.38933344005452575,True
