anomaly_score_iqr,anomaly_score_zscore,anomaly_score_percentile,anomaly_score_robust,anomaly_score_final,is_anomaly_final,files_changed,branches_count,time_since_previous_commit
45.63016519596641,8.24684226691917,7.681917714277661,2.799314318935741,16.089559874024747,True,1084,85,64697.0
30.14332637509527,5.884887578578504,6.252314814814814,1.0076819917540139,10.822052690060652,True,8,85,7433.0
22.27777777777778,4.28996492425333,3.763426230130015,1.1291827093387226,7.865087910374961,True,543,84,3629.0
23.04820370645412,3.885595268758512,2.195355680007574,1.3280363093186258,7.614297741134708,True,1637,54,2.0
22.7832314088851,3.728890581267991,2.161676862253829,1.2722222222222221,7.486505268657285,True,1637,54,22.0
14.91234134320154,3.3405198328577708,3.087531928892965,0.7704992405418052,5.527723086373521,True,2,81,3497.0
16.13542831193961,2.732882677334981,1.516207567681831,1.135940038795479,5.380114648937975,True,1160,84,5309.0
15.139075229246773,3.139373924775287,1.447841269920185,1.2619480526403568,5.2470596191456504,True,1040,109,25.0
15.081576184610189,2.6878045256898218,1.414461380489497,1.182415645829136,5.09156443415466,True,1086,85,1.0
10.275302375256295,6.424382172379996,1.4523221847445795,1.6666666666666667,4.954668349761885,True,1,119,578526.0
