files_changed,branches_count,time_since_previous_commit,time_since_previous_commit_days,commit_frequency_24h,commit_hour,commit_day,commit_month,commit_dayofweek,activity_frequency,activity_encoded,author_commit_count,author_unique_files,author_median_files_changed,file_reuse,branch_reuse,files_changed_rolling_avg_7d,branches_count_rolling_avg_7d,time_since_previous_commit_rolling_avg_7d,activity_frequency_rolling_avg_7d,anomaly_score_iqr,is_anomaly_iqr,anomaly_score_zscore,is_anomaly_zscore
2,119,10169.547932904708,0.1177031010752859,0,16,18,9,3,2,31,258,1274,2.0,False,False,2.0,119.0,0.1177031010752859,2.0,0.2900805846548342,True,0.9672302445306791,True
0,119,20677.0,0.2393171296296296,0,21,18,9,3,3992,5,789,3078,4.0,False,True,1.0,119.0,0.1785101153524577,1997.0,0.09750638968986879,True,0.864387744879125,True
1,119,84762.0,0.9810416666666668,0,21,19,9,4,3992,5,789,3078,4.0,False,True,1.0,119.0,0.4460206324571941,2662.0,0.9431276481655849,True,1.3429735836870285,True
1,119,1544.0,0.0178703703703703,0,21,19,9,4,1105,8,444,2898,3.0,True,True,1.0,119.0,0.3389830669354881,2272.75,0.1669739017914124,True,1.0057465102954783,True
2,119,33.0,0.0003819444444444,0,21,19,9,4,1105,8,444,2898,3.0,False,True,1.2,119.0,0.2712628424372794,2039.2,0.1274470281107429,True,0.9927141613015424,True
4,119,4079.0,0.0472106481481481,0,23,19,9,4,2,66,444,2898,3.0,False,True,1.6666666666666667,119.0,0.2339208100557575,1699.6666666666667,0.1262075061324334,True,1.1151272120046387,True
1,119,2060.0,0.0238425925925925,0,23,19,9,4,1105,8,444,2898,3.0,True,True,1.5714285714285714,119.0,0.2039096361324482,1614.7142857142858,0.13440782511602328,True,1.0016607138705451,True
0,119,41.0,0.000474537037037,0,23,19,9,4,1,26,444,2898,3.0,False,True,1.375,119.0,0.1784802487455218,1413.0,0.15387898611069076,True,0.9961433891233482,True
0,119,93604.0,1.0833796296296296,0,1,21,9,6,1105,8,789,3078,4.0,False,True,1.2222222222222223,119.0,0.2790246243993116,1378.7777777777778,1.0184728259592895,True,1.6463455050877893,True
0,119,98627.0,1.1415162037037037,0,5,22,9,0,1105,8,789,3078,4.0,False,True,1.1,119.0,0.3652737823297508,1351.4,1.1595592352354742,True,1.6702711727516453,True
0,119,253111.0,2.929525462962963,0,3,25,9,3,4122,43,789,3078,4.0,False,True,1.0,119.0,0.5983875714782246,1603.2727272727273,3.175451870686635,True,2.5052602068201733,True
0,119,51823.0,0.5998032407407408,0,17,25,9,3,34,64,789,3078,4.0,False,True,0.8181818181818182,119.0,0.6422148569023569,1606.1818181818182,0.835418588797901,True,1.5858597924488445,True
0,119,1814.0,0.0209953703703703,0,18,25,9,3,34,64,789,3078,4.0,False,True,0.75,119.0,0.5904465663580246,1475.1666666666667,0.47445008009072104,True,1.3981696948156943,True
26,119,10190.0,0.1179398148148148,0,21,25,9,3,1105,8,21,53,2.0,True,True,2.6923076923076925,119.0,0.5540998931623932,1446.6923076923076,0.6522173202903806,True,1.2629130753017654,True
0,119,1440.0,0.0166666666666666,0,21,25,9,3,2,37,789,3078,4.0,False,True,2.5,119.0,0.5157118055555555,1343.5,0.41865917714214274,True,1.2699525956148403,True
33,119,84.0,0.0009722222222222,0,21,25,9,3,2,37,789,3078,4.0,True,True,4.533333333333333,119.0,0.4813958333333333,1254.0666666666666,0.7013942153248638,True,1.2761168239692933,True
10,119,8602.0,0.0995601851851851,0,23,25,9,3,7,16,444,2898,3.0,True,True,5.2,119.0,0.4720787037037037,988.4,0.41294313693781093,True,1.1770890068017257,True
6,119,3734.0,0.0432175925925925,0,0,26,9,4,3992,5,789,3078,4.0,True,True,5.25,119.0,0.4452748842592592,1176.125,0.3702544621062339,True,1.2033177238521402,True
1,119,11166.0,0.1292361111111111,0,4,26,9,4,1105,8,444,2898,3.0,True,True,5.0,119.0,0.4266843681917211,1171.9411764705883,0.35361860212156226,True,1.1817127789566295,True
3,119,12079.0,0.1398032407407407,0,7,26,9,4,4122,43,912,4112,2.0,True,True,4.888888888888889,119.0,0.4107465277777777,1335.8333333333333,0.3231900262374803,True,1.1212030820096006,True
1,119,161.0,0.0018634259259259,0,7,26,9,4,6093,27,912,4112,2.0,False,True,4.684210526315789,119.0,0.3892263645224171,1586.2105263157894,0.2792965343232216,True,1.126653651313672,True
2,119,14419.0,0.166886574074074,0,11,26,9,4,4122,43,912,4112,2.0,True,True,4.55,119.0,0.3781093749999999,1713.0,0.2568681231496586,True,1.040376899152519,True
1,119,17813.0,0.2061689814814815,0,16,26,9,4,6093,27,444,2898,3.0,True,True,4.380952380952381,119.0,0.3699217372134039,1921.571428571429,0.22923041798749486,True,0.9348220446322763,True
2,119,1822.0,0.0210879629629629,0,16,26,9,4,6093,27,789,3078,4.0,True,True,4.2727272727272725,119.0,0.3540656565656565,2111.181818181818,0.19639424123497934,True,0.9410824023780483,True
9,119,5202.0,0.0602083333333333,0,18,26,9,4,7,16,444,2898,3.0,True,True,4.478260869565218,119.0,0.3412892512077294,2019.695652173913,0.19351464297720986,True,0.9924932531033248,True
7,119,9124.0,0.1056018518518518,0,20,26,9,4,2880,23,8,14,2.0,False,True,4.583333333333333,119.0,0.3314689429012346,2055.5416666666665,0.18105337374269234,True,0.9170147475655503,True
9,119,13485.0,0.1560763888888889,0,0,27,9,5,4122,43,789,3078,4.0,True,True,5.789473684210527,119.0,0.370553118908382,2428.684210526316,0.1808583357324131,True,1.0125832992851558,True
5,119,101.0,0.0011689814814814,0,0,27,9,5,6093,27,789,3078,4.0,True,True,5.75,119.0,0.352083912037037,2611.9,0.14624427720239774,True,1.0132304482923264,True
31,119,49.0,0.0005671296296296,0,0,27,9,5,4122,43,789,3078,4.0,True,True,6.9523809523809526,119.0,0.3353450176366842,2683.809523809524,0.4017381861585938,True,1.0322570394879989,True
40,119,159334.0,1.8441435185185184,0,20,28,9,6,4122,43,789,3078,4.0,True,True,8.857142857142858,119.0,0.3715718694885361,2827.4761904761904,2.143394148938833,True,1.78897181838912,True
12,119,9250.0,0.1070601851851851,0,23,28,9,6,7,16,444,2898,3.0,True,True,9.0,119.0,0.359548611111111,2699.2727272727275,0.15854121787158382,True,1.035287123496052,True
9,119,12801.0,0.1481597222222222,0,3,29,9,0,1461,58,444,2898,3.0,True,True,9.0,119.0,0.3503577898550724,2645.4347826086955,0.14142508650016702,True,1.0766675728509933,True
10,119,65871.0,0.7623958333333334,0,21,29,9,0,2880,23,789,3078,4.0,True,True,9.434782608695652,119.0,0.3338742954911433,2722.608695652174,0.6111286846659723,True,1.1856021648780741,True
1,119,75.0,0.0008680555555555,0,21,29,9,0,4122,43,789,3078,4.0,True,True,9.083333333333334,119.0,0.3199990354938271,2780.9166666666665,0.1005209704548897,True,0.94494849030557,False
1,119,54008.0,0.6250925925925926,0,12,30,9,1,1105,8,912,4112,2.0,True,True,8.76,119.0,0.3322027777777777,2713.88,0.47017728012954524,True,1.2111165071692236,True
7,119,6756.0,0.0781944444444444,0,14,30,9,1,4122,43,912,4112,2.0,True,True,8.692307692307692,119.0,0.3224332264957264,2768.038461538461,0.1039952169818456,True,0.8665951905006393,False
24,119,16931.0,0.1959606481481481,0,18,30,9,1,2880,23,920,1985,3.0,True,True,9.25925925925926,119.0,0.3177490569272976,2772.185185185185,0.2798570740151376,True,0.8403191908776885,False
6,119,5327.0,0.0616550925925925,0,20,30,9,1,2880,23,920,1985,3.0,True,True,9.142857142857142,119.0,0.3086028439153438,2776.035714285714,0.09054658591589977,True,0.80786189498073,False
2,119,8700.0,0.1006944444444444,0,22,30,9,1,7,16,444,2898,3.0,True,True,8.89655172413793,119.0,0.3014335887611749,2680.551724137931,0.09319229986104821,True,0.9316484181255417,True
2,119,2957.0,0.034224537037037,0,23,30,9,1,7,16,444,2898,3.0,True,True,8.666666666666666,119.0,0.2925266203703703,2591.4333333333334,0.09363079725430097,True,0.9725156481279201,True
1,119,982.0,0.0113657407407407,0,23,30,9,1,1105,8,21,53,2.0,True,True,8.419354838709678,119.0,0.2834569145758662,2543.483870967742,0.08994616104517567,True,1.032667905331802,True
15,119,52426.0,0.6067824074074074,0,14,1,10,2,2880,23,912,4112,2.0,True,True,8.625,119.0,0.2935608362268518,2554.0,0.48704258314372445,True,1.058600114494232,True
1,119,3794.0,0.043912037037037,0,15,1,10,2,5625,18,912,4112,2.0,True,True,8.393939393939394,119.0,0.2859957210998877,2647.060606060606,0.08227508498537392,True,0.8682721812833374,True
2,119,30225.0,0.3498263888888889,0,23,1,10,2,2880,23,8,14,2.0,True,True,8.205882352941176,119.0,0.2878730936819171,2653.9117647058824,0.15413644514992672,True,0.9542685997130944,True
2,119,54.0,0.000625,0,23,1,10,2,2880,23,8,14,2.0,True,True,8.028571428571428,119.0,0.2796660052910052,2660.3714285714286,0.07518851371579216,True,0.8926764078911368,True
2,119,74.0,0.0008564814814814,0,23,1,10,2,4122,43,8,14,2.0,True,True,7.861111111111111,119.0,0.2719212962962962,2700.972222222222,0.06417072851318331,True,0.9010488956407026,True
3,119,10770.0,0.1246527777777777,0,2,2,10,3,6093,27,8,14,2.0,True,True,7.72972972972973,119.0,0.267941066066066,2792.6486486486488,0.051673143783035475,True,0.8641969745578505,False
4,119,7644.0,0.0884722222222222,0,5,2,10,3,1461,58,444,2898,3.0,True,True,7.837837837837838,119.0,0.1911558433433433,2720.7297297297296,0.027645903436778717,True,0.8860740845835271,True
3,119,17124.0,0.1981944444444444,0,9,2,10,3,2880,23,912,4112,2.0,True,True,7.7105263157894735,119.0,0.1913410696881091,2724.9210526315787,0.02724132166551966,True,0.8004326217419082,True
8,119,12202.0,0.1412268518518518,0,13,2,10,3,2880,23,912,4112,2.0,True,True,7.717948717948718,119.0,0.1900560897435897,2728.897435897436,0.02685748767740205,True,0.7364260955560318,False
2,119,10209.0,0.1181597222222222,0,16,2,10,3,2880,23,920,1985,3.0,True,True,7.575,119.0,0.1882586805555555,2732.675,0.026492845388690348,True,0.6451019789260692,False
22,119,12140.0,0.1405092592592592,0,19,2,10,3,1105,8,789,3078,4.0,True,True,8.333333333333334,119.0,0.1807707146248812,2829.333333333333,0.16994034711217146,True,0.8402529672484297,False
1,119,4271.0,0.0494328703703703,0,20,2,10,3,1105,8,8,14,2.0,True,True,8.15,119.0,0.1774872685185184,2786.225,0.021323748576472883,True,0.8737125078011531,False
5,119,25275.0,0.2925347222222222,0,3,3,10,4,7,16,444,2898,3.0,True,True,7.111111111111111,119.0,0.1976019161522633,2954.111111111112,0.017393691226873842,True,0.9191031958349201,False
1,119,968.0,0.0112037037037037,0,3,3,10,4,1105,8,444,2898,3.0,True,True,6.945945945945946,119.0,0.1925641266266265,2904.135135135135,0.009942069703360638,True,0.8918842932277897,False
3,119,3191.0,0.0369328703703703,0,4,3,10,4,6093,27,444,2898,3.0,True,True,7.0,119.0,0.1900694444444444,3038.945945945946,0.0,False,0.7620018637806774,False
3,119,56473.0,0.6536226851851852,0,20,3,10,4,4122,43,920,1985,3.0,True,True,7.625,119.0,0.2215679253472222,2813.53125,0.3998324318774494,True,0.984832744470896,False
1,119,73.0,0.0008449074074074,0,20,3,10,4,4122,43,920,1985,3.0,True,True,7.424242424242424,119.0,0.2148793490460156,2853.181818181818,0.01486051280766126,True,0.7829823569097155,False
6,119,3337.0,0.0386226851851851,0,21,3,10,4,4122,43,920,1985,3.0,True,True,7.393939393939394,119.0,0.2128496773288439,2890.818181818182,0.011227534146668031,True,0.7585628844973592,False
5,119,11268.0,0.1304166666666666,0,0,4,10,5,4122,43,920,1985,3.0,True,True,7.323529411764706,119.0,0.2104251770152505,2927.029411764706,0.007732121386947187,True,0.8165171046464221,False
9,119,157865.0,1.827141203703704,0,20,5,10,6,2880,23,920,1985,3.0,True,True,6.65625,119.0,0.2757432725694444,2751.9375,1.6427046239184258,True,1.5913453918445821,True
3,119,64071.0,0.7415625,0,14,6,10,0,2880,23,920,1985,3.0,True,True,5.166666666666667,119.0,0.2488661265432098,2845.0666666666666,0.5001088634666211,True,0.9909954731286226,False
2,119,4969.0,0.057511574074074,0,15,6,10,0,2880,23,920,1985,3.0,True,True,5.064516129032258,119.0,0.2426933990442054,2846.1935483870966,0.02336300191003689,True,0.7289088556383034,False
7,119,7742.0,0.0896064814814814,0,17,6,10,0,2880,23,920,1985,3.0,True,True,5.125,119.0,0.2379094328703703,2847.25,0.018876130765924187,True,0.7194726441746208,False
4,119,7154.0,0.0828009259259259,0,19,6,10,0,1461,58,8,14,2.0,True,True,5.090909090909091,119.0,0.233209175084175,2805.242424242424,0.019488026689860327,True,0.9609557990206881,False
2,119,2374.0,0.0274768518518518,0,20,6,10,0,2880,23,920,1985,3.0,True,True,5.0,119.0,0.2271582244008714,2807.4411764705883,0.019275784614538948,True,0.7791989010389614,False
