anomaly_score_iqr,anomaly_score_zscore,anomaly_score_combined,is_anomaly_combined,files_changed,branches_count,time_since_previous_commit
45.63016519596641,8.24684226691917,26.938503731442793,True,1084,85,64697.0
30.14332637509527,5.884887578578504,18.01410697683689,True,8,85,7433.0
23.048203706454117,3.8855952687585114,13.466899487606314,True,1637,54,2.0
22.27777777777778,4.28996492425333,13.283871351015554,True,543,84,3629.0
22.7832314088851,3.728890581267991,13.256060995076545,True,1637,54,22.0
16.13542831193961,2.7328826773349815,9.434155494637295,True,1160,84,5309.0
15.139075229246771,3.139373924775287,9.13922457701103,True,1040,109,25.0
14.91234134320154,3.3405198328577708,9.126430588029656,True,2,81,3497.0
15.081576184610189,2.6878045256898218,8.884690355150004,True,1086,85,1.0
14.597066783542964,2.5846860336102706,8.590876408576618,True,1051,81,1685.0
