,files_changed,branches_count,time_since_previous_commit_days,commit_frequency_24h,author_commit_count,author_unique_files,files_changed_rolling_avg_7d,activity_frequency_rolling_avg_7d
files_changed,1.0,0.030176222685531124,-0.004231328901785157,0.0010405809464734716,0.003074117735951089,0.05320552069705465,0.13938690731893597,-0.02143229194059049
branches_count,0.030176222685531124,1.0,-0.018767243122965148,-0.007607402871842334,0.054681740798507926,0.15364003117929662,0.21260977247376125,-0.34687339469796447
time_since_previous_commit_days,-0.004231328901785157,-0.018767243122965148,1.0,-0.0068281291520158535,-0.07310134185991318,-0.07816482387454372,-0.012289593310817318,0.005357718493722297
commit_frequency_24h,0.0010405809464734716,-0.007607402871842334,-0.0068281291520158535,1.0,-0.001969207122429274,-0.0003359980245379639,-0.0013976868999351218,-0.0002687662910345009
author_commit_count,0.003074117735951089,0.054681740798507926,-0.07310134185991318,-0.001969207122429274,1.0,0.7530956972961669,0.018026618979594882,-0.007474375167427675
author_unique_files,0.05320552069705465,0.15364003117929662,-0.07816482387454372,-0.0003359980245379639,0.7530956972961669,1.0,0.05711822239384883,-0.047955179411061866
files_changed_rolling_avg_7d,0.13938690731893597,0.21260977247376125,-0.012289593310817318,-0.0013976868999351218,0.018026618979594882,0.05711822239384883,1.0,-0.18034513494107293
activity_frequency_rolling_avg_7d,-0.02143229194059049,-0.34687339469796447,0.005357718493722297,-0.0002687662910345009,-0.007474375167427675,-0.047955179411061866,-0.18034513494107293,1.0
