anomaly_score_iqr,anomaly_score_zscore,anomaly_score_percentile,anomaly_score_combined,is_anomaly_combined,files_changed,branches_count,time_since_previous_commit
45.63016519596641,8.24684226691917,7.681917714277661,19.23586932457674,True,1084,85,64697.0
30.14332637509527,5.884887578578504,6.252314814814814,13.309390112028058,True,8,85,7433.0
22.27777777777778,4.28996492425333,3.7634262301300145,9.47569330266134,True,543,84,3629.0
23.04820370645412,3.885595268758512,2.195355680007574,8.95828196456682,True,1637,54,2.0
22.7832314088851,3.728890581267991,2.161676862253829,8.81830734194746,True,1637,54,22.0
14.91234134320154,3.3405198328577708,3.0875319288929655,6.71087112437498,True,2,81,3497.0
16.13542831193961,2.732882677334981,1.516207567681831,6.2669763238551095,True,1160,84,5309.0
15.139075229246773,3.139373924775287,1.447841269920185,6.062671254174691,True,1040,109,25.0
15.081576184610189,2.6878045256898218,1.414461380489497,5.896598765285802,True,1086,85,1.0
14.597066783542964,2.5846860336102706,1.3680921370802315,5.7017626999780635,True,1051,81,1685.0
